population,province_name,city_name
16190,Aladağ,Adana
155965,Ceyhan,Adana
378650,Çukurova,Adana
16116,Feke,Adana
27071,İmamoğlu,Adana
22997,Karaisalı,Adana
24304,Karataş,Adana
132911,Kozan,Adana
20235,Pozantı,Adana
13451,Saimbeyli,Adana
251259,Sarıçam,Adana
786931,Seyhan,Adana
16524,Tufanbeyli,Adana
17970,Yumurtalık,Adana
399910,Yüreğir,Adana
38003,Besni,Adıyaman
1731,Çakırhüyük,Adıyaman
1581,Kesmetepe,Adıyaman
1932,Köseceli,Adıyaman
3474,Şambayat,Adıyaman
2029,Suvarlı,Adıyaman
8581,Çelikhan,Adıyaman
3182,Pınarbaşı,Adıyaman
2826,Gerger,Adıyaman
2038,Balkar,Adıyaman
2041,Belören,Adıyaman
31663,Gölbaşı,Adıyaman
1485,Harmanlı,Adıyaman
1507,Akıncılar,Adıyaman
1985,Bölükyayla,Adıyaman
95518,Kâhta,Adıyaman
233783,Adıyaman,Adıyaman
2944,Kömür,Adıyaman
1667,Yaylakonak,Adıyaman
3777,Samsat,Adıyaman
1907,İnlice,Adıyaman
5396,Sincik,Adıyaman
3448,Tut,Adıyaman
4864,Başmakçı,Afyonkarahisar
4230,Bayat,Afyonkarahisar
33646,Bolvadin,Afyonkarahisar
2822,Dişli,Afyonkarahisar
2054,Özburun,Afyonkarahisar
14231,Çay,Afyonkarahisar
2313,Karamıkkaracaören,Afyonkarahisar
2550,Pazarağaç,Afyonkarahisar
9408,Çobanlar,Afyonkarahisar
2825,Kocaöz,Afyonkarahisar
6118,Dazkırı,Afyonkarahisar
26957,Dinar,Afyonkarahisar
2149,Haydarlı,Afyonkarahisar
2751,Tatarlı,Afyonkarahisar
2209,Davulga,Afyonkarahisar
23451,Emirdağ,Afyonkarahisar
2130,Gömü,Afyonkarahisar
3254,Evciler,Afyonkarahisar
2124,Hocalar,Afyonkarahisar
5926,Döğer,Afyonkarahisar
2602,Gazlıgöl,Afyonkarahisar
3876,İhsaniye,Afyonkarahisar
2216,Kayıhan,Afyonkarahisar
2337,Yaylabağı,Afyonkarahisar
13724,İscehisar,Afyonkarahisar
2071,Seydiler,Afyonkarahisar
1365,Kızılören,Afyonkarahisar
257436,Afyonkarahisar,Afyonkarahisar
3334,Beyyazı,Afyonkarahisar
4503,Çayırbağ,Afyonkarahisar
2521,Çıkrık,Afyonkarahisar
2946,Değirmenayvalı,Afyonkarahisar
9159,Erkmen,Afyonkarahisar
2746,Fethibey,Afyonkarahisar
3489,Gebeceler,Afyonkarahisar
7349,Işıklar,Afyonkarahisar
3202,Kocatepe,Afyonkarahisar
3075,Nuribey,Afyonkarahisar
4603,Salar,Afyonkarahisar
3742,Sülümenli,Afyonkarahisar
3424,Sülün,Afyonkarahisar
4868,Susuz,Afyonkarahisar
2660,Akharım,Afyonkarahisar
34897,Sandıklı,Afyonkarahisar
2830,Ahmetpaşa,Afyonkarahisar
3014,Akören,Afyonkarahisar
2105,Düzağaç,Afyonkarahisar
2187,Güney,Afyonkarahisar
2723,Kılıçarslan,Afyonkarahisar
2051,Kırka,Afyonkarahisar
1864,Küçükhüyük,Afyonkarahisar
1460,Serban,Afyonkarahisar
3613,Sinanpaşa,Afyonkarahisar
3569,Taşoluk,Afyonkarahisar
2791,Tınaztepe,Afyonkarahisar
2183,Karaadilli,Afyonkarahisar
15061,Şuhut,Afyonkarahisar
1957,Dereçine,Afyonkarahisar
5166,Sultandağı,Afyonkarahisar
2105,Yeşilçiftlik,Afyonkarahisar
19041,Diyadin,Ağrı
80450,Doğubayazıt,Ağrı
9915,Eleşkirt,Ağrı
1422,Tahir,Ağrı
1639,Yayladüzü,Ağrı
2091,Yücekapı,Ağrı
