mag,place,time,updated,tz,url,detail,felt,cdi,mmi,alert,status,tsunami,sig,net,code,ids,sources,types,nst,dmin,rms,gap,magType,type,title,coordinates,Longitude,Latitude,Depth,id,time_format_full,time_format_hms,time_format_ymd,year,month,day,hours,minutes,seconds
4.1,Turkey,967863229650,1415322659607,,https://earthquake.usgs.gov/earthquakes/eventpage/usp0009zj8,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp0009zj8&format=geojson,,,,,reviewed,0,259,us,p0009zj8,",usp0009zj8,",",us,",",origin,phase-data,",22.0,,1.28,,mb,earthquake,"M 4.1 - 7 km S of Orta, Turkey","[33.095, 40.559, 10]",33.095, 40.559, 10,usp0009zj8,2000-09-02 05:53:49.650000,05:53:49,2000-09-02,2000,09,02,05,53,49.650000
3.6,Turkey,968250179290,1415322663142,,https://earthquake.usgs.gov/earthquakes/eventpage/usp0009zt6,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp0009zt6&format=geojson,,,,,reviewed,0,199,us,p0009zt6,",usp0009zt6,",",us,",",impact-text,origin,phase-data,",21.0,,,,mb,earthquake,"M 3.6 - 2 km ESE of Koruköy, Turkey","[29.193, 40.648, 7.8]",29.193, 40.648, 7.8,usp0009zt6,2000-09-06 17:22:59.290000,17:22:59,2000-09-06,2000,09,06,17,22,59.290000
4.5,Turkey,968392007010,1415322663432,,https://earthquake.usgs.gov/earthquakes/eventpage/usp0009zw3,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp0009zw3&format=geojson,,,,,reviewed,0,312,us,p0009zw3,",usp0009zw3,",",us,",",impact-text,origin,phase-data,",85.0,,1.02,,mb,earthquake,"M 4.5 - 4 km ESE of Sava?tepe, Turkey","[27.703, 39.363, 10]",27.703, 39.363, 10,usp0009zw3,2000-09-08 08:46:47.010000,08:46:47,2000-09-08,2000,09,08,08,46,47.010000
4.0,Turkey,968487528760,1415322663682,,https://earthquake.usgs.gov/earthquakes/eventpage/usp0009zy7,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp0009zy7&format=geojson,,,,,reviewed,0,246,us,p0009zy7,",usp0009zy7,",",us,",",origin,phase-data,",10.0,,1.06,,md,earthquake,"M 4.0 - 4 km SSE of Sava?tepe, Turkey","[27.674, 39.346, 10]",27.674, 39.346, 10,usp0009zy7,2000-09-09 11:18:48.760000,11:18:48,2000-09-09,2000,09,09,11,18,48.760000
3.0,Turkey,968635500400,1415322664224,,https://earthquake.usgs.gov/earthquakes/eventpage/usp000a01z,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp000a01z&format=geojson,,,,,reviewed,0,138,us,p000a01z,",usp000a01z,",",us,",",origin,phase-data,",5.0,,,,ml,earthquake,"M 3.0 - 4 km WNW of Akdere, Turkey","[33.708, 36.255, 25]",33.708, 36.255, 25,usp000a01z,2000-09-11 04:25:00.400000,04:25:00,2000-09-11,2000,09,11,04,25,00.400000
3.9,Greece,968776121020,1415322664710,,https://earthquake.usgs.gov/earthquakes/eventpage/usp000a055,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp000a055&format=geojson,,,,,reviewed,0,234,us,p000a055,",usp000a055,",",us,",",origin,phase-data,",18.0,,1.01,,md,earthquake,"M 3.9 - 12 km ENE of Mantamádos, Greece","[26.468, 39.367, 10]",26.468, 39.367, 10,usp000a055,2000-09-12 19:28:41.020000,19:28:41,2000-09-12,2000,09,12,19,28,41.020000
3.5,Greece,968795635570,1415322664733,,https://earthquake.usgs.gov/earthquakes/eventpage/usp000a05h,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp000a05h&format=geojson,,,,,reviewed,0,188,us,p000a05h,",usp000a05h,",",us,",",origin,phase-data,",8.0,,0.96,,md,earthquake,"M 3.5 - 12 km E of Mantamádos, Greece","[26.484, 39.314, 10]",26.484, 39.314, 10,usp000a05h,2000-09-13 00:53:55.570000,00:53:55,2000-09-13,2000,09,13,00,53,55.570000
3.6,Greece,968797302840,1415322664735,,https://earthquake.usgs.gov/earthquakes/eventpage/usp000a05j,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp000a05j&format=geojson,,,,,reviewed,0,199,us,p000a05j,",usp000a05j,",",us,",",origin,phase-data,",8.0,,1.17,,md,earthquake,"M 3.6 - 8 km NNE of Mantamádos, Greece","[26.362, 39.386, 10]",26.362, 39.386, 10,usp000a05j,2000-09-13 01:21:42.840000,01:21:42,2000-09-13,2000,09,13,01,21,42.840000
3.4,Greece,968797598260,1415322664736,,https://earthquake.usgs.gov/earthquakes/eventpage/usp000a05k,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp000a05k&format=geojson,,,,,reviewed,0,178,us,p000a05k,",usp000a05k,",",us,",",origin,phase-data,",6.0,,,,md,earthquake,"M 3.4 - 6 km E of Míthymna, Greece","[26.252, 39.365, 11.8]",26.252, 39.365, 11.8,usp000a05k,2000-09-13 01:26:38.260000,01:26:38,2000-09-13,2000,09,13,01,26,38.260000
3.9,Greece,968811980600,1415322664758,,https://earthquake.usgs.gov/earthquakes/eventpage/usp000a05x,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp000a05x&format=geojson,,,,,reviewed,0,234,us,p000a05x,",usp000a05x,",",us,",",origin,phase-data,",15.0,,,,md,earthquake,"M 3.9 - 11 km SE of Kardámaina, Greece","[27.23, 36.71, 5]",27.23, 36.71, 5,usp000a05x,2000-09-13 05:26:20.600000,05:26:20,2000-09-13,2000,09,13,05,26,20.600000
