||Sütunlar|
Satırlar||Belediye, Köy Ve Mahalle Nüfusları|
||Ölçüm bazında|
|||
|||
2024
|Adana(Aladağ/Aladağ Bel.)-931|16190.0|
|Adana(Ceyhan/Ceyhan Bel.)-936|155965.0|
|Adana(Çukurova/Çukurova Bel.)-4506|378650.0|
|Adana(Feke/Feke Bel.)-935|16116.0|
|Adana(İmamoğlu/İmamoğlu Bel.)-934|27071.0|
|Adana(Karaisalı/Karaisalı Bel.)-933|22997.0|
|Adana(Karataş/Karataş Bel.)-932|24304.0|
|Adana(Kozan/Kozan Bel.)-938|132911.0|
|Adana(Pozantı/Pozantı Bel.)-930|20235.0|
|Adana(Saimbeyli/Saimbeyli Bel.)-929|13451.0|
|Adana(Sarıçam/Sarıçam Bel.)-4505|251259.0|
|Adana(Seyhan/Seyhan Bel.)-937|786931.0|
|Adana(Tufanbeyli/Tufanbeyli Bel.)-927|16524.0|
|Adana(Yumurtalık/Yumurtalık Bel.)-926|17970.0|
|Adana(Yüreğir/Yüreğir Bel.)-928|399910.0|
|Adıyaman(Besni/Besni Bel.)-986|38003.0|
|Adıyaman(Besni/Çakırhüyük Bel.)-998|1731.0|
|Adıyaman(Besni/Kesmetepe Bel.)-997|1581.0|
|Adıyaman(Besni/Köseceli Bel.)-996|1932.0|
|Adıyaman(Besni/Şambayat Bel.)-988|3474.0|
|Adıyaman(Besni/Suvarlı Bel.)-987|2029.0|
|Adıyaman(Çelikhan/Çelikhan Bel.)-984|8581.0|
|Adıyaman(Çelikhan/Pınarbaşı Bel.)-989|3182.0|
|Adıyaman(Gerger/Gerger Bel.)-981|2826.0|
|Adıyaman(Gölbaşı/Balkar Bel.)-990|2038.0|
|Adıyaman(Gölbaşı/Belören Bel.)-991|2041.0|
|Adıyaman(Gölbaşı/Gölbaşı Bel.)-978|31663.0|
|Adıyaman(Gölbaşı/Harmanlı Bel.)-992|1485.0|
|Adıyaman(Kahta/Akıncılar Bel.)-994|1507.0|
|Adıyaman(Kahta/Bölükyayla Bel.)-993|1985.0|
|Adıyaman(Kahta/Kahta Bel.)-983|95518.0|
|Adıyaman(Merkez/Adıyaman Bel.)-985|233783.0|
|Adıyaman(Merkez/Kömür Bel.)-1002|2944.0|
|Adıyaman(Merkez/Yaylakonak Bel.)-1004|1667.0|
|Adıyaman(Samsat/Samsat Bel.)-980|3777.0|
|Adıyaman(Sincik/İnlice Bel.)-995|1907.0|
|Adıyaman(Sincik/Sincik Bel.)-979|5396.0|
|Adıyaman(Tut/Tut Bel.)-982|3448.0|
|Afyonkarahisar(Başmakçı/Başmakçı Bel.)-1013|4864.0|
|Afyonkarahisar(Bayat/Bayat Bel.)-1014|4230.0|
|Afyonkarahisar(Bolvadin/Bolvadin Bel.)-1015|33646.0|
|Afyonkarahisar(Bolvadin/Dişli Bel.)-1078|2822.0|
|Afyonkarahisar(Bolvadin/Özburun Bel.)-1080|2054.0|
|Afyonkarahisar(Çay/Çay Bel.)-1016|14231.0|
|Afyonkarahisar(Çay/Karamıkkaracaören Bel.)-1086|2313.0|
|Afyonkarahisar(Çay/Pazarağaç Bel.)-1088|2550.0|
|Afyonkarahisar(Çobanlar/Çobanlar Bel.)-1017|9408.0|
|Afyonkarahisar(Çobanlar/Kocaöz Bel.)-1089|2825.0|
|Afyonkarahisar(Dazkırı/Dazkırı Bel.)-1018|6118.0|
|Afyonkarahisar(Dinar/Dinar Bel.)-1019|26957.0|
|Afyonkarahisar(Dinar/Haydarlı Bel.)-1092|2149.0|
|Afyonkarahisar(Dinar/Tatarlı Bel.)-1097|2751.0|
|Afyonkarahisar(Emirdağ/Davulga Bel.)-1101|2209.0|
|Afyonkarahisar(Emirdağ/Emirdağ Bel.)-1020|23451.0|
|Afyonkarahisar(Emirdağ/Gömü Bel.)-52579|2130.0|
|Afyonkarahisar(Evciler/Evciler Bel.)-1021|3254.0|
|Afyonkarahisar(Hocalar/Hocalar Bel.)-1022|2124.0|
|Afyonkarahisar(İhsaniye/Döğer Bel.)-1108|5926.0|
|Afyonkarahisar(İhsaniye/Gazlıgöl Bel.)-1109|2602.0|
|Afyonkarahisar(İhsaniye/İhsaniye Bel.)-1007|3876.0|
|Afyonkarahisar(İhsaniye/Kayıhan Bel.)-1112|2216.0|
|Afyonkarahisar(İhsaniye/Yaylabağı Bel.)-1024|2337.0|
|Afyonkarahisar(İscehisar/İscehisar Bel.)-1006|13724.0|
|Afyonkarahisar(İscehisar/Seydiler Bel.)-1026|2071.0|
|Afyonkarahisar(Kızılören/Kızılören Bel.)-1023|1365.0|
|Afyonkarahisar(Merkez/Afyonkarahisar Bel.)-1012|257436.0|
|Afyonkarahisar(Merkez/Beyyazı Bel.)-1062|3334.0|
|Afyonkarahisar(Merkez/Çayırbağ Bel.)-1064|4503.0|
|Afyonkarahisar(Merkez/Çıkrık Bel.)-1065|2521.0|
|Afyonkarahisar(Merkez/Değirmenayvalı Bel.)-1066|2946.0|
|Afyonkarahisar(Merkez/Erkmen Bel.)-1067|9159.0|
|Afyonkarahisar(Merkez/Fethibey Bel.)-1068|2746.0|
|Afyonkarahisar(Merkez/Gebeceler Bel.)-1069|3489.0|
|Afyonkarahisar(Merkez/Işıklar Bel.)-1070|7349.0|
|Afyonkarahisar(Merkez/Kocatepe Bel.)-1063|3202.0|
|Afyonkarahisar(Merkez/Nuribey Bel.)-1071|3075.0|
|Afyonkarahisar(Merkez/Salar Bel.)-1072|4603.0|
|Afyonkarahisar(Merkez/Sülümenli Bel.)-1074|3742.0|
|Afyonkarahisar(Merkez/Sülün Bel.)-1075|3424.0|
|Afyonkarahisar(Merkez/Susuz Bel.)-1073|4868.0|
|Afyonkarahisar(Sandıklı/Akharım Bel.)-1035|2660.0|
|Afyonkarahisar(Sandıklı/Sandıklı Bel.)-1008|34897.0|
|Afyonkarahisar(Sinanpaşa/Ahmetpaşa Bel.)-1037|2830.0|
|Afyonkarahisar(Sinanpaşa/Akören Bel.)-1038|3014.0|
|Afyonkarahisar(Sinanpaşa/Düzağaç Bel.)-1039|2105.0|
|Afyonkarahisar(Sinanpaşa/Güney Bel.)-1040|2187.0|
|Afyonkarahisar(Sinanpaşa/Kılıçarslan Bel.)-1041|2723.0|
|Afyonkarahisar(Sinanpaşa/Kırka Bel.)-1042|2051.0|
|Afyonkarahisar(Sinanpaşa/Küçükhüyük Bel.)-1043|1864.0|
|Afyonkarahisar(Sinanpaşa/Serban Bel.)-1045|1460.0|
|Afyonkarahisar(Sinanpaşa/Sinanpaşa Bel.)-1009|3613.0|
|Afyonkarahisar(Sinanpaşa/Taşoluk Bel.)-1046|3569.0|
|Afyonkarahisar(Sinanpaşa/Tınaztepe Bel.)-1047|2791.0|
|Afyonkarahisar(Şuhut/Karaadilli Bel.)-1058|2183.0|
|Afyonkarahisar(Şuhut/Şuhut Bel.)-1011|15061.0|
|Afyonkarahisar(Sultandağı/Dereçine Bel.)-1049|1957.0|
|Afyonkarahisar(Sultandağı/Sultandağı Bel.)-1010|5166.0|
|Afyonkarahisar(Sultandağı/Yeşilçiftlik Bel.)-1054|2105.0|
|Ağrı(Diyadin/Diyadin Bel.)-1119|19041.0|
|Ağrı(Doğubayazıt/Doğubayazıt Bel.)-1114|80450.0|
|Ağrı(Eleşkirt/Eleşkirt Bel.)-1116|9915.0|
|Ağrı(Eleşkirt/Tahir Bel.)-1124|1422.0|
|Ağrı(Eleşkirt/Yayladüzü Bel.)-1122|1639.0|
|Ağrı(Eleşkirt/Yücekapı Bel.)-1123|2091.0|
|Ağrı(Hamur/Hamur Bel.)-1120|2899.0|
|Ağrı(Merkez/Ağrı Bel.)-1117|123772.0|
|Ağrı(Patnos/Dedeli Bel.)-1121|2965.0|
|Ağrı(Patnos/Patnos Bel.)-1115|59010.0|
